2025-10-30 21:20:09,354 - \u2705 Success | Error 0.0846 | Source API (Live)
2025-11-01 07:27:34,631 - \u2705 Success | Error 0.0277 | Source API (Live)
2025-11-01 07:27:54,707 - \u2705 Success | Error 0.0274 | Source API (Live)
2025-11-01 07:28:14,676 - \u2705 Success | Error 0.0272 | Source API (Live)
2025-11-01 07:28:34,944 - \u2705 Success | Error 0.027 | Source API (Live)
2025-11-01 07:28:54,716 - \u2705 Success | Error 0.0267 | Source API (Live)
2025-11-01 07:29:14,743 - \u2705 Success | Error 0.0265 | Source API (Live)
2025-11-01 07:29:34,665 - \u2705 Success | Error 0.0263 | Source API (Live)
2025-11-01 07:29:54,714 - \u2705 Success | Error 0.0261 | Source API (Live)
2025-11-01 07:30:14,685 - \u2705 Success | Error 0.0259 | Source API (Live)
2025-11-01 07:30:34,656 - \u2705 Success | Error 0.0257 | Source API (Live)
2025-11-01 07:30:54,728 - \u2705 Success | Error 0.0256 | Source API (Live)
2025-11-01 07:31:14,706 - \u2705 Success | Error 0.0254 | Source API (Live)
2025-11-01 07:31:34,765 - \u2705 Success | Error 0.0252 | Source API (Live)
2025-11-01 07:31:55,142 - \u2705 Success | Error 0.0251 | Source API (Live)
2025-11-01 07:32:14,713 - \u2705 Success | Error 0.0249 | Source API (Live)
2025-11-01 07:32:34,665 - \u2705 Success | Error 0.0248 | Source API (Live)
2025-11-01 07:32:54,758 - \u2705 Success | Error 0.0246 | Source API (Live)
2025-11-01 07:33:14,606 - \u2705 Success | Error 0.0245 | Source API (Live)
2025-11-01 07:33:34,813 - \u2705 Success | Error 0.0244 | Source API (Live)
2025-11-01 07:33:54,690 - \u2705 Success | Error 0.0243 | Source API (Live)
2025-11-01 07:34:14,670 - \u2705 Success | Error 0.0242 | Source API (Live)
2025-11-01 07:34:34,771 - \u2705 Success | Error 0.024 | Source API (Live)
2025-11-01 07:34:54,764 - \u2705 Success | Error 0.0239 | Source API (Live)
2025-11-01 07:35:14,938 - \u2705 Success | Error 0.0238 | Source API (Live)
2025-11-01 07:35:34,771 - \u2705 Success | Error 0.0237 | Source API (Live)
2025-11-01 07:35:54,805 - \u2705 Success | Error 0.0236 | Source API (Live)
2025-11-01 07:36:14,834 - \u2705 Success | Error 0.0236 | Source API (Live)
2025-11-01 07:36:34,925 - \u2705 Success | Error 0.0235 | Source API (Live)
2025-11-01 07:36:54,769 - \u2705 Success | Error 0.0234 | Source API (Live)
2025-11-01 07:37:14,913 - \u2705 Success | Error 0.0233 | Source API (Live)
2025-11-01 07:37:34,911 - \u2705 Success | Error 0.0232 | Source API (Live)
2025-11-01 07:37:54,903 - \u2705 Success | Error 0.0231 | Source API (Live)
2025-11-01 07:38:14,857 - \u2705 Success | Error 0.0231 | Source API (Live)
2025-11-01 07:38:34,914 - \u2705 Success | Error 0.023 | Source API (Live)
2025-11-01 07:38:54,990 - \u2705 Success | Error 0.0229 | Source API (Live)
2025-11-01 07:39:14,963 - \u2705 Success | Error 0.0229 | Source API (Live)
2025-11-01 07:39:34,927 - \u2705 Success | Error 0.0228 | Source API (Live)
2025-11-01 07:39:55,093 - \u2705 Success | Error 0.0227 | Source API (Live)
2025-11-01 07:40:14,924 - \u2705 Success | Error 0.0227 | Source API (Live)
2025-11-01 07:40:34,832 - \u2705 Success | Error 0.0226 | Source API (Live)
2025-11-01 07:40:54,756 - \u2705 Success | Error 0.0226 | Source API (Live)
2025-11-01 07:41:14,974 - \u2705 Success | Error 0.0225 | Source API (Live)
2025-11-01 07:41:35,148 - \u2705 Success | Error 0.0225 | Source API (Live)
2025-11-01 07:41:55,017 - \u2705 Success | Error 0.0224 | Source API (Live)
2025-11-01 07:42:15,014 - \u2705 Success | Error 0.0224 | Source API (Live)
2025-11-01 07:42:34,954 - \u2705 Success | Error 0.0223 | Source API (Live)
2025-11-01 07:42:55,022 - \u2705 Success | Error 0.0223 | Source API (Live)
2025-11-01 07:43:14,973 - \u2705 Success | Error 0.0222 | Source API (Live)
2025-11-01 07:43:35,061 - \u2705 Success | Error 0.0222 | Source API (Live)
2025-11-01 07:43:55,030 - \u2705 Success | Error 0.0221 | Source API (Live)
2025-11-01 07:44:15,204 - \u2705 Success | Error 0.0221 | Source API (Live)
2025-11-01 07:44:35,077 - \u2705 Success | Error 0.0221 | Source API (Live)
2025-11-01 07:44:55,114 - \u2705 Success | Error 0.022 | Source API (Live)
2025-11-01 07:45:15,117 - \u2705 Success | Error 0.022 | Source API (Live)
2025-11-01 07:45:34,971 - \u2705 Success | Error 0.022 | Source API (Live)
2025-11-01 07:45:55,251 - \u2705 Success | Error 0.0219 | Source API (Live)
2025-11-01 07:46:15,113 - \u2705 Success | Error 0.0219 | Source API (Live)
2025-11-01 07:46:35,080 - \u2705 Success | Error 0.0219 | Source API (Live)
2025-11-01 07:46:55,280 - \u2705 Success | Error 0.0218 | Source API (Live)
2025-11-01 07:47:14,909 - \u2705 Success | Error 0.0218 | Source API (Live)
2025-11-01 07:47:35,241 - \u2705 Success | Error 0.0218 | Source API (Live)
2025-11-01 07:47:55,155 - \u2705 Success | Error 0.0217 | Source API (Live)
2025-11-01 07:48:15,097 - \u2705 Success | Error 0.0217 | Source API (Live)
2025-11-01 07:48:35,053 - \u2705 Success | Error 0.0217 | Source API (Live)
2025-11-01 07:48:55,144 - \u2705 Success | Error 0.0216 | Source API (Live)
2025-11-01 07:49:14,937 - \u2705 Success | Error 0.0216 | Source API (Live)
2025-11-01 07:49:35,205 - \u2705 Success | Error 0.0216 | Source API (Live)
2025-11-01 07:49:55,162 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-11-01 07:50:15,129 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-11-01 07:50:35,175 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-11-01 07:50:55,184 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-11-01 07:51:15,194 - \u2705 Success | Error 0.0214 | Source API (Live)
2025-11-01 07:51:35,239 - \u2705 Success | Error 0.0214 | Source API (Live)
2025-11-01 07:51:55,297 - \u2705 Success | Error 0.0214 | Source API (Live)
2025-11-01 07:52:15,197 - \u2705 Success | Error 0.0214 | Source API (Live)
2025-11-01 07:52:35,245 - \u2705 Success | Error 0.0213 | Source API (Live)
2025-11-01 07:52:55,296 - \u2705 Success | Error 0.0213 | Source API (Live)
2025-11-01 07:53:15,271 - \u2705 Success | Error 0.0213 | Source API (Live)
2025-11-01 07:53:35,240 - \u2705 Success | Error 0.0213 | Source API (Live)
2025-11-01 07:53:55,311 - \u2705 Success | Error 0.0213 | Source API (Live)
2025-11-01 07:54:15,176 - \u2705 Success | Error 0.0212 | Source API (Live)
2025-11-01 07:54:35,243 - \u2705 Success | Error 0.0212 | Source API (Live)
2025-11-01 07:54:55,332 - \u2705 Success | Error 0.0212 | Source API (Live)
2025-11-01 07:55:15,287 - \u2705 Success | Error 0.0212 | Source API (Live)
2025-11-01 07:55:35,354 - \u2705 Success | Error 0.0211 | Source API (Live)
2025-11-01 07:55:55,321 - \u2705 Success | Error 0.0211 | Source API (Live)
2025-11-01 07:56:15,297 - \u2705 Success | Error 0.0211 | Source API (Live)
2025-11-01 07:56:35,364 - \u2705 Success | Error 0.0211 | Source API (Live)
2025-11-01 07:56:55,247 - \u2705 Success | Error 0.0211 | Source API (Live)
2025-11-01 07:57:15,202 - \u2705 Success | Error 0.021 | Source API (Live)
2025-11-01 07:57:35,256 - \u2705 Success | Error 0.021 | Source API (Live)
2025-11-01 07:57:55,439 - \u2705 Success | Error 0.021 | Source API (Live)
2025-11-01 07:58:15,312 - \u2705 Success | Error 0.021 | Source API (Live)
2025-11-01 07:58:35,374 - \u2705 Success | Error 0.021 | Source API (Live)
2025-11-01 07:58:55,342 - \u2705 Success | Error 0.0209 | Source API (Live)
2025-11-01 07:59:15,313 - \u2705 Success | Error 0.0209 | Source API (Live)
2025-11-01 07:59:35,471 - \u2705 Success | Error 0.0209 | Source API (Live)
2025-11-01 07:59:55,360 - \u2705 Success | Error 0.0209 | Source API (Live)
2025-11-01 08:00:15,635 - \u2705 Success | Error 0.043 | Source API (Live)
2025-11-01 08:00:35,327 - \u2705 Success | Error 0.0422 | Source API (Live)
2025-11-01 08:00:55,366 - \u2705 Success | Error 0.0414 | Source API (Live)
2025-11-01 08:01:15,434 - \u2705 Success | Error 0.0407 | Source API (Live)
2025-11-01 08:01:35,498 - \u2705 Success | Error 0.04 | Source API (Live)
2025-11-01 08:01:55,375 - \u2705 Success | Error 0.0393 | Source API (Live)
2025-11-01 08:02:15,440 - \u2705 Success | Error 0.0386 | Source API (Live)
2025-11-01 08:02:35,220 - \u2705 Success | Error 0.038 | Source API (Live)
2025-11-01 08:02:55,610 - \u2705 Success | Error 0.0374 | Source API (Live)
2025-11-01 08:03:15,270 - \u2705 Success | Error 0.0368 | Source API (Live)
2025-11-01 08:03:35,471 - \u2705 Success | Error 0.0362 | Source API (Live)
2025-11-01 08:03:55,346 - \u2705 Success | Error 0.0357 | Source API (Live)
2025-11-01 08:04:15,355 - \u2705 Success | Error 0.0352 | Source API (Live)
2025-11-01 08:04:35,280 - \u2705 Success | Error 0.0347 | Source API (Live)
2025-11-01 08:04:55,376 - \u2705 Success | Error 0.0342 | Source API (Live)
2025-11-01 08:05:15,464 - \u2705 Success | Error 0.0337 | Source API (Live)
2025-11-01 08:05:35,531 - \u2705 Success | Error 0.0333 | Source API (Live)
2025-11-01 08:05:55,610 - \u2705 Success | Error 0.0328 | Source API (Live)
2025-11-01 08:06:15,469 - \u2705 Success | Error 0.0324 | Source API (Live)
2025-11-01 08:06:35,539 - \u2705 Success | Error 0.032 | Source API (Live)
2025-11-01 08:06:55,512 - \u2705 Success | Error 0.0316 | Source API (Live)
2025-11-01 08:07:15,458 - \u2705 Success | Error 0.0313 | Source API (Live)
2025-11-01 08:07:35,959 - \u2705 Success | Error 0.0309 | Source API (Live)
2025-11-01 08:07:55,318 - \u2705 Success | Error 0.0306 | Source API (Live)
2025-11-01 08:08:15,483 - \u2705 Success | Error 0.0302 | Source API (Live)
2025-11-01 08:08:35,291 - \u2705 Success | Error 0.0299 | Source API (Live)
2025-11-01 08:08:55,622 - \u2705 Success | Error 0.0296 | Source API (Live)
2025-11-01 08:09:15,458 - \u2705 Success | Error 0.0293 | Source API (Live)
2025-11-01 08:09:35,426 - \u2705 Success | Error 0.029 | Source API (Live)
2025-11-01 08:09:55,635 - \u2705 Success | Error 0.0287 | Source API (Live)
2025-11-01 08:10:15,309 - \u2705 Success | Error 0.0285 | Source API (Live)
2025-11-01 08:10:35,516 - \u2705 Success | Error 0.0282 | Source API (Live)
2025-11-01 08:10:55,640 - \u2705 Success | Error 0.0279 | Source API (Live)
2025-11-01 08:11:15,512 - \u2705 Success | Error 0.0277 | Source API (Live)
2025-11-01 08:11:35,339 - \u2705 Success | Error 0.0275 | Source API (Live)
2025-11-01 08:11:55,648 - \u2705 Success | Error 0.0272 | Source API (Live)
2025-11-01 08:12:15,615 - \u2705 Success | Error 0.027 | Source API (Live)
2025-11-01 08:12:35,690 - \u2705 Success | Error 0.0268 | Source API (Live)
2025-11-01 08:12:55,350 - \u2705 Success | Error 0.0266 | Source API (Live)
2025-11-01 08:13:15,800 - \u2705 Success | Error 0.0264 | Source API (Live)
2025-11-01 08:13:35,493 - \u2705 Success | Error 0.0262 | Source API (Live)
2025-11-01 08:13:55,480 - \u2705 Success | Error 0.026 | Source API (Live)
2025-11-01 08:14:15,359 - \u2705 Success | Error 0.0259 | Source API (Live)
2025-11-01 08:14:35,453 - \u2705 Success | Error 0.0257 | Source API (Live)
2025-11-01 08:14:55,567 - \u2705 Success | Error 0.0255 | Source API (Live)
2025-11-01 08:15:15,636 - \u2705 Success | Error 0.0254 | Source API (Live)
2025-11-01 08:15:35,715 - \u2705 Success | Error 0.0252 | Source API (Live)
2025-11-01 08:15:55,583 - \u2705 Success | Error 0.0251 | Source API (Live)
2025-11-01 08:16:15,619 - \u2705 Success | Error 0.0249 | Source API (Live)
2025-11-01 08:16:35,529 - \u2705 Success | Error 0.0248 | Source API (Live)
2025-11-01 08:16:55,685 - \u2705 Success | Error 0.0247 | Source API (Live)
2025-11-01 08:17:15,676 - \u2705 Success | Error 0.0245 | Source API (Live)
2025-11-01 08:17:35,637 - \u2705 Success | Error 0.0244 | Source API (Live)
2025-11-01 08:17:55,596 - \u2705 Success | Error 0.0243 | Source API (Live)
2025-11-01 08:18:15,555 - \u2705 Success | Error 0.0242 | Source API (Live)
2025-11-01 08:18:36,043 - \u2705 Success | Error 0.024 | Source API (Live)
2025-11-01 08:18:55,704 - \u2705 Success | Error 0.0239 | Source API (Live)
2025-11-01 08:19:15,877 - \u2705 Success | Error 0.0238 | Source API (Live)
2025-11-01 08:19:35,714 - \u2705 Success | Error 0.0237 | Source API (Live)
2025-11-01 08:19:55,914 - \u2705 Success | Error 0.0236 | Source API (Live)
2025-11-01 08:20:15,879 - \u2705 Success | Error 0.0235 | Source API (Live)
2025-11-01 08:20:35,753 - \u2705 Success | Error 0.0234 | Source API (Live)
2025-11-01 08:20:55,710 - \u2705 Success | Error 0.0233 | Source API (Live)
2025-11-01 08:21:15,788 - \u2705 Success | Error 0.0232 | Source API (Live)
2025-11-01 08:21:35,770 - \u2705 Success | Error 0.0232 | Source API (Live)
2025-11-01 08:21:55,935 - \u2705 Success | Error 0.0231 | Source API (Live)
2025-11-01 08:22:15,679 - \u2705 Success | Error 0.023 | Source API (Live)
2025-11-01 08:22:35,767 - \u2705 Success | Error 0.0229 | Source API (Live)
2025-11-01 08:22:55,837 - \u2705 Success | Error 0.0228 | Source API (Live)
2025-11-01 08:23:16,003 - \u2705 Success | Error 0.0228 | Source API (Live)
2025-11-01 08:23:35,926 - \u2705 Success | Error 0.0227 | Source API (Live)
2025-11-01 08:23:56,019 - \u2705 Success | Error 0.0226 | Source API (Live)
2025-11-01 08:24:15,705 - \u2705 Success | Error 0.0226 | Source API (Live)
2025-11-01 08:24:35,890 - \u2705 Success | Error 0.0225 | Source API (Live)
2025-11-01 08:24:55,857 - \u2705 Success | Error 0.0224 | Source API (Live)
2025-11-01 08:25:15,826 - \u2705 Success | Error 0.0224 | Source API (Live)
2025-11-01 08:25:35,992 - \u2705 Success | Error 0.0223 | Source API (Live)
2025-11-01 08:25:55,746 - \u2705 Success | Error 0.0222 | Source API (Live)
2025-11-01 08:26:15,726 - \u2705 Success | Error 0.0222 | Source API (Live)
2025-11-01 08:26:35,759 - \u2705 Success | Error 0.0221 | Source API (Live)
2025-11-01 08:26:55,971 - \u2705 Success | Error 0.0221 | Source API (Live)
2025-11-01 08:27:16,054 - \u2705 Success | Error 0.022 | Source API (Live)
2025-11-01 08:27:35,919 - \u2705 Success | Error 0.022 | Source API (Live)
2025-11-01 08:27:55,706 - \u2705 Success | Error 0.0219 | Source API (Live)
2025-11-01 08:28:15,909 - \u2705 Success | Error 0.0219 | Source API (Live)
2025-11-01 08:28:35,896 - \u2705 Success | Error 0.0218 | Source API (Live)
2025-11-01 08:28:55,980 - \u2705 Success | Error 0.0218 | Source API (Live)
2025-11-01 08:29:15,952 - \u2705 Success | Error 0.0217 | Source API (Live)
2025-11-01 08:29:35,966 - \u2705 Success | Error 0.0217 | Source API (Live)
2025-11-01 08:29:55,829 - \u2705 Success | Error 0.0216 | Source API (Live)
2025-11-01 08:30:16,034 - \u2705 Success | Error 0.0216 | Source API (Live)
2025-11-01 08:30:36,101 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-11-01 08:30:56,000 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-11-01 08:31:15,962 - \u2705 Success | Error 0.0214 | Source API (Live)
2025-11-01 08:31:36,033 - \u2705 Success | Error 0.0214 | Source API (Live)
2025-11-01 08:31:55,907 - \u2705 Success | Error 0.0214 | Source API (Live)
2025-11-01 08:32:16,184 - \u2705 Success | Error 0.0213 | Source API (Live)
2025-11-01 08:32:36,051 - \u2705 Success | Error 0.0213 | Source API (Live)
2025-11-01 08:32:55,934 - \u2705 Success | Error 0.0213 | Source API (Live)
2025-11-01 08:33:16,186 - \u2705 Success | Error 0.0212 | Source API (Live)
2025-11-01 08:33:36,052 - \u2705 Success | Error 0.0212 | Source API (Live)
2025-11-01 08:33:56,024 - \u2705 Success | Error 0.0211 | Source API (Live)
2025-11-01 08:34:16,441 - \u2705 Success | Error 0.0211 | Source API (Live)
2025-11-01 08:34:35,961 - \u2705 Success | Error 0.0211 | Source API (Live)
2025-11-01 08:34:56,136 - \u2705 Success | Error 0.021 | Source API (Live)
2025-11-01 08:35:16,203 - \u2705 Success | Error 0.021 | Source API (Live)
2025-11-01 08:35:36,073 - \u2705 Success | Error 0.021 | Source API (Live)
2025-11-01 08:35:56,136 - \u2705 Success | Error 0.0209 | Source API (Live)
2025-11-01 08:36:16,211 - \u2705 Success | Error 0.0209 | Source API (Live)
2025-11-01 08:36:35,974 - \u2705 Success | Error 0.0209 | Source API (Live)
2025-11-01 08:36:56,169 - \u2705 Success | Error 0.0209 | Source API (Live)
2025-11-01 08:37:16,121 - \u2705 Success | Error 0.0208 | Source API (Live)
2025-11-01 08:37:36,177 - \u2705 Success | Error 0.0208 | Source API (Live)
2025-11-01 08:37:56,163 - \u2705 Success | Error 0.0208 | Source API (Live)
2025-11-01 08:38:16,127 - \u2705 Success | Error 0.0207 | Source API (Live)
2025-11-01 08:38:35,959 - \u2705 Success | Error 0.0207 | Source API (Live)
2025-11-01 08:38:56,470 - \u2705 Success | Error 0.0207 | Source API (Live)
2025-11-01 08:39:16,135 - \u2705 Success | Error 0.0207 | Source API (Live)
2025-11-01 08:39:36,307 - \u2705 Success | Error 0.0206 | Source API (Live)
2025-11-01 08:39:56,062 - \u2705 Success | Error 0.0206 | Source API (Live)
2025-11-01 08:40:16,003 - \u2705 Success | Error 0.0206 | Source API (Live)
2025-11-01 08:40:36,208 - \u2705 Success | Error 0.0205 | Source API (Live)
2025-11-01 08:40:56,167 - \u2705 Success | Error 0.0205 | Source API (Live)
2025-11-01 08:41:16,349 - \u2705 Success | Error 0.0205 | Source API (Live)
2025-11-01 08:41:36,254 - \u2705 Success | Error 0.0205 | Source API (Live)
2025-11-01 08:41:56,191 - \u2705 Success | Error 0.0204 | Source API (Live)
2025-11-01 08:42:16,255 - \u2705 Success | Error 0.0204 | Source API (Live)
2025-11-01 08:42:36,424 - \u2705 Success | Error 0.0204 | Source API (Live)
2025-11-01 08:42:56,288 - \u2705 Success | Error 0.0204 | Source API (Live)
2025-11-01 08:43:16,223 - \u2705 Success | Error 0.0203 | Source API (Live)
2025-11-01 08:43:36,436 - \u2705 Success | Error 0.0203 | Source API (Live)
2025-11-01 08:43:56,403 - \u2705 Success | Error 0.0203 | Source API (Live)
2025-11-01 08:44:16,374 - \u2705 Success | Error 0.0203 | Source API (Live)
2025-11-01 08:44:36,244 - \u2705 Success | Error 0.0203 | Source API (Live)
2025-11-01 08:44:56,518 - \u2705 Success | Error 0.0202 | Source API (Live)
2025-11-01 08:45:16,282 - \u2705 Success | Error 0.0202 | Source API (Live)
2025-11-01 08:45:36,351 - \u2705 Success | Error 0.0202 | Source API (Live)
2025-11-01 08:45:56,432 - \u2705 Success | Error 0.0202 | Source API (Live)
2025-11-01 08:46:16,283 - \u2705 Success | Error 0.0201 | Source API (Live)
2025-11-01 08:46:36,372 - \u2705 Success | Error 0.0201 | Source API (Live)
2025-11-01 08:46:56,537 - \u2705 Success | Error 0.0201 | Source API (Live)
2025-11-01 08:47:16,350 - \u2705 Success | Error 0.0201 | Source API (Live)
2025-11-01 08:47:36,369 - \u2705 Success | Error 0.0201 | Source API (Live)
2025-11-01 08:47:56,548 - \u2705 Success | Error 0.02 | Source API (Live)
2025-11-01 08:48:16,414 - \u2705 Success | Error 0.02 | Source API (Live)
2025-11-01 09:54:29,501 - \u2705 Success | Error 0.0495 | Source API (Live)
2026-01-29 21:41:18,968 - \u274c Failure | Error 9.9545 | Source API (Live)
2026-01-29 21:42:05,676 - \u2705 Success | Error 3.9543 | Source API (Live)
2026-01-29 21:42:26,637 - \u2705 Success | Error 1.7353 | Source API (Live)
2026-01-29 21:42:45,667 - \u2705 Success | Error 0.8592 | Source API (Live)
2026-01-29 21:43:05,794 - \u2705 Success | Error 0.3227 | Source API (Live)
2026-01-29 21:43:25,567 - \u2705 Success | Error 0.1555 | Source API (Live)
2026-01-29 21:43:45,732 - \u2705 Success | Error 0.0567 | Source API (Live)
2026-01-29 21:44:05,721 - \u2705 Success | Error 0.021 | Source API (Live)
2026-01-29 21:44:25,784 - \u2705 Success | Error 0.3665 | Source API (Live)
2026-01-29 21:44:45,611 - \u2705 Success | Error 0.0823 | Source API (Live)
2026-01-29 21:45:06,451 - \u2705 Success | Error 0.0381 | Source API (Live)
2026-01-29 21:45:25,645 - \u2705 Success | Error 0.1209 | Source API (Live)
2026-01-29 21:45:30,406 - \u2705 Success | Error 1.4996 | Source API (Live)
2026-01-29 21:45:49,865 - \u2705 Success | Error 0.8351 | Source API (Live)
2026-01-29 21:46:10,641 - \u2705 Success | Error 0.3892 | Source API (Live)
2026-01-29 21:46:29,831 - \u2705 Success | Error 0.2146 | Source API (Live)
2026-01-29 21:46:49,784 - \u2705 Success | Error 0.0751 | Source API (Live)
2026-01-29 21:47:09,929 - \u2705 Success | Error 0.0312 | Source API (Live)
2026-01-29 21:47:29,841 - \u2705 Success | Error 0.0097 | Source API (Live)
2026-01-29 21:47:49,835 - \u2705 Success | Error 0.013 | Source API (Live)
2026-01-29 21:48:10,003 - \u2705 Success | Error 0.004 | Source API (Live)
2026-01-29 21:48:29,880 - \u2705 Success | Error 0.0188 | Source API (Live)
2026-01-29 21:48:49,832 - \u2705 Success | Error 0.0161 | Source API (Live)
2026-01-29 21:49:10,387 - \u2705 Success | Error 0.0147 | Source API (Live)
2026-01-29 21:49:29,910 - \u2705 Success | Error 0.0556 | Source API (Live)
2026-01-29 21:49:49,877 - \u2705 Success | Error 0.0272 | Source API (Live)
2026-01-29 21:50:09,968 - \u2705 Success | Error 0.021 | Source API (Live)
2026-01-29 21:50:29,905 - \u2705 Success | Error 0.0176 | Source API (Live)
2026-01-29 21:50:50,134 - \u2705 Success | Error 0.4149 | Source API (Live)
2026-01-29 21:51:10,350 - \u2705 Success | Error 0.0486 | Source API (Live)
2026-01-29 21:51:30,299 - \u2705 Success | Error 0.3294 | Source API (Live)
2026-01-29 21:51:50,141 - \u2705 Success | Error 0.0311 | Source API (Live)
2026-01-29 21:52:10,165 - \u2705 Success | Error 0.0242 | Source API (Live)
2026-01-29 21:52:29,941 - \u2705 Success | Error 0.1376 | Source API (Live)
2026-01-29 21:52:50,519 - \u2705 Success | Error 0.0022 | Source API (Live)
2026-01-29 21:53:06,000 - \u2705 Success | Error 0.3384 | Source API (Live)
2026-01-29 21:53:25,924 - \u2705 Success | Error 0.0778 | Source API (Live)
2026-01-29 21:53:46,223 - \u2705 Success | Error 0.0357 | Source API (Live)
2026-01-29 21:54:06,603 - \u2705 Success | Error 0.0224 | Source API (Live)
2026-01-29 21:54:26,930 - \u2705 Success | Error 0.012 | Source API (Live)
2026-01-29 21:54:47,013 - \u2705 Success | Error 0.0 | Source API (Live)
2026-01-29 21:55:06,924 - \u2705 Success | Error 0.0053 | Source API (Live)
2026-01-29 21:55:26,402 - \u2705 Success | Error 0.2829 | Source API (Live)
2026-01-29 21:55:45,897 - \u2705 Success | Error 0.0408 | Source API (Live)
2026-01-29 21:55:55,138 - \u2705 Success | Error 0.0828 | Source API (Live)
2026-01-29 21:56:05,674 - \u2705 Success | Error 0.1145 | Source API (Live)
2026-01-29 21:56:15,275 - \u2705 Success | Error 0.0641 | Source API (Live)
2026-01-29 21:56:25,213 - \u2705 Success | Error 0.0124 | Source API (Live)
2026-01-29 21:56:35,269 - \u2705 Success | Error 0.0183 | Source API (Live)
2026-01-29 21:56:44,651 - \u2705 Success | Error 0.0061 | Source API (Live)
2026-01-29 21:56:55,289 - \u2705 Success | Error 0.0014 | Source API (Live)
2026-01-29 21:57:05,249 - \u2705 Success | Error 0.0061 | Source API (Live)
2026-01-29 21:57:15,085 - \u2705 Success | Error 0.009 | Source API (Live)
2026-01-29 21:57:24,751 - \u26a0\ufe0f Deviation | Error 0.2205 | Source API (Live)
2026-01-29 21:57:36,260 - \u2705 Success | Error 0.0379 | Source API (Live)
2026-01-29 21:57:45,621 - \u2705 Success | Error 0.0291 | Source API (Live)
2026-01-29 21:57:56,557 - \u2705 Success | Error 0.0236 | Source API (Live)
2026-01-29 21:58:06,466 - \u2705 Success | Error 0.0201 | Source API (Live)
2026-01-29 21:58:25,430 - \u26a0\ufe0f Deviation | Error 0.2527 | Source API (Live)
2026-01-29 21:58:35,753 - \u2705 Success | Error 0.0619 | Source API (Live)
2026-01-29 21:58:48,267 - \u26a0\ufe0f Deviation | Error 0.1903 | Source API (Live)
2026-01-29 21:58:55,802 - \u2705 Success | Error 0.0447 | Source API (Live)
2026-01-29 21:59:05,962 - \u2705 Success | Error 0.0226 | Source API (Live)
2026-01-29 21:59:15,577 - \u2705 Success | Error 0.0089 | Source API (Live)
2026-01-29 21:59:25,701 - \u2705 Success | Error 0.0003 | Source API (Live)
2026-01-29 21:59:35,604 - \u2705 Success | Error 0.0048 | Source API (Live)
2026-01-29 21:59:45,615 - \u2705 Success | Error 0.0082 | Source API (Live)
2026-01-29 21:59:55,564 - \u2705 Success | Error 0.0104 | Source API (Live)
2026-01-29 22:00:07,821 - \u2705 Success | Error 0.0907 | Source API (Live)
2026-01-29 22:00:16,616 - \u2705 Success | Error 0.0637 | Source API (Live)
2026-01-29 22:00:25,992 - \u2705 Success | Error 0.0726 | Source API (Live)
2026-01-29 22:00:36,066 - \u2705 Success | Error 0.0331 | Source API (Live)
2026-01-29 22:00:45,669 - \u2705 Success | Error 0.0268 | Source API (Live)
2026-01-29 22:00:56,117 - \u2705 Success | Error 0.0226 | Source API (Live)
2026-01-29 22:01:06,677 - \u2705 Success | Error 0.02 | Source API (Live)
2026-01-29 22:01:15,762 - \u2705 Success | Error 0.0182 | Source API (Live)
2026-01-29 22:01:25,950 - \u2705 Success | Error 0.0524 | Source API (Live)
2026-01-29 22:01:36,024 - \u2705 Success | Error 0.0211 | Source API (Live)
2026-01-29 22:01:45,984 - \u2705 Success | Error 0.0189 | Source API (Live)
2026-01-29 22:01:50,407 - \u2705 Success | Error 0.0194 | Source Simulated Data
2026-01-29 22:02:00,327 - \u2705 Success | Error 0.0298 | Source Simulated Data
2026-01-29 22:02:10,807 - \u2705 Success | Error 0.0576 | Source Simulated Data
2026-01-29 22:02:20,375 - \u2705 Success | Error 0.0304 | Source Simulated Data
2026-01-29 22:02:30,645 - \u2705 Success | Error 0.0368 | Source Simulated Data
2026-01-29 22:02:41,760 - \u2705 Success | Error 0.0643 | Source Simulated Data
2026-01-29 22:02:50,389 - \u2705 Success | Error 0.063 | Source Simulated Data
2026-01-29 22:03:00,406 - \u2705 Success | Error 0.0222 | Source Simulated Data
2026-01-29 22:03:10,514 - \u2705 Success | Error 0.0183 | Source Simulated Data
2026-01-29 22:03:20,353 - \u2705 Success | Error 0.0237 | Source Simulated Data
2026-01-29 22:03:30,394 - \u2705 Success | Error 0.0352 | Source Simulated Data
2026-01-29 22:03:40,353 - \u2705 Success | Error 0.0209 | Source Simulated Data
2026-01-29 22:03:50,365 - \u2705 Success | Error 0.0551 | Source Simulated Data
2026-01-29 22:04:01,518 - \u2705 Success | Error 0.0531 | Source Simulated Data
2026-01-29 22:04:10,932 - \u2705 Success | Error 0.0023 | Source Simulated Data
2026-01-29 22:04:20,986 - \u2705 Success | Error 0.0509 | Source Simulated Data
2026-01-29 22:04:30,480 - \u2705 Success | Error 0.0609 | Source Simulated Data
